0,0,940.546,4.05887e+007,133.571
5,3,23.7128,2926.19,133.571
10,7,21.6975,27.715,133.571
15,11,12.0164,2.61924,133.571
20,15,6.28411,0.596775,133.571
25,19,3.84893,0.214672,133.571
30,23,3.07104,0.101926,133.571
