0,0,22.0293,4.22233e+007
5,4,15.4841,199.03
10,7,4.69,0.252941
15,11,3.16032,0.0513029
20,15,3.45682,0.0402015
25,18,3.59815,0.0749745
30,22,3.52123,0.0298283
40.5714
